FIPSCd,CountyName,StateCd,UnemploymentPct,PovertyPct,EducBachlOrHigherPct,PercentDem,PercentRep
1001.0,,,0.039,0.134,0.25,24.0,73.4
1003.0,,,0.040999999999999995,0.10099999999999999,0.307,19.6,77.4
1005.0,,,0.057999999999999996,0.334,0.12,46.7,52.3
1007.0,,,0.044000000000000004,0.20199999999999999,0.132,21.4,77.0
1009.0,,,0.04,0.128,0.131,8.5,89.9
1011.0,,,0.049,0.344,0.134,75.1,24.2
1013.0,,,0.055,0.21300000000000002,0.161,42.8,56.3
1015.0,,,0.05,0.177,0.179,27.9,69.2
1017.0,,,0.040999999999999995,0.182,0.133,41.8,56.6
1019.0,,,0.040999999999999995,0.172,0.125,14.5,83.9
1021.0,,,0.040999999999999995,0.168,0.151,15.9,82.5
1023.0,,,0.063,0.237,0.11599999999999999,42.8,56.4
1025.0,,,0.085,0.233,0.13,44.2,55.0
1027.0,,,0.043,0.18100000000000002,0.10300000000000001,18.8,79.6
1029.0,,,0.045,0.161,0.12400000000000001,10.5,87.8
1031.0,,,0.044000000000000004,0.155,0.227,20.4,77.1
1033.0,,,0.052000000000000005,0.154,0.188,29.6,67.9
1035.0,,,0.061,0.237,0.08800000000000001,46.9,52.2
1037.0,,,0.047,0.174,0.11,34.1,64.6
1039.0,,,0.052000000000000005,0.177,0.155,15.0,83.6
1041.0,,,0.045,0.19899999999999998,0.163,26.6,72.2
1043.0,,,0.038,0.138,0.149,10.0,87.8
1045.0,,,0.045,0.177,0.168,23.7,74.1
1047.0,,,0.075,0.27899999999999997,0.142,68.5,30.9
1049.0,,,0.045,0.195,0.13,14.1,83.5
1051.0,,,0.037000000000000005,0.12,0.228,22.9,74.8
1053.0,,,0.05,0.233,0.121,30.9,67.6
1055.0,,,0.046,0.18100000000000002,0.16899999999999998,23.8,73.9
1057.0,,,0.047,0.19399999999999998,0.146,16.6,81.8
1059.0,,,0.043,0.20500000000000002,0.134,18.4,79.2
1061.0,,,0.043,0.217,0.111,13.1,85.5
1063.0,,,0.076,0.332,0.114,82.4,17.2
1065.0,,,0.06,0.251,0.14400000000000002,59.6,39.6
1067.0,,,0.049,0.17,0.171,28.5,70.1
1069.0,,,0.044000000000000004,0.166,0.209,25.1,72.7
1071.0,,,0.048,0.166,0.134,17.6,80.1
1073.0,,,0.043,0.167,0.319,52.2,45.0
1075.0,,,0.042,0.187,0.133,14.9,84.0
1077.0,,,0.047,0.13699999999999998,0.225,25.4,71.5
1079.0,,,0.05,0.168,0.102,24.7,73.4
1081.0,,,0.04,0.17800000000000002,0.349,36.4,59.5
1083.0,,,0.04,0.11900000000000001,0.24600000000000002,23.7,73.2
1085.0,,,0.083,0.259,0.13699999999999998,73.1,26.2
1087.0,,,0.057999999999999996,0.306,0.201,82.7,15.9
1089.0,,,0.039,0.128,0.406,39.2,55.9
1091.0,,,0.055999999999999994,0.228,0.154,51.2,47.7
1093.0,,,0.048,0.193,0.134,11.1,87.3
1095.0,,,0.039,0.201,0.177,14.1,83.6
1097.0,,,0.052000000000000005,0.197,0.23,41.9,55.7
1099.0,,,0.067,0.23800000000000002,0.125,42.3,56.7
1101.0,,,0.044000000000000004,0.21300000000000002,0.32299999999999995,62.0,35.9
1103.0,,,0.040999999999999995,0.14800000000000002,0.209,22.4,74.8
1105.0,,,0.078,0.37200000000000005,0.16899999999999998,72.7,26.7
1107.0,,,0.054000000000000006,0.223,0.11800000000000001,41.8,57.4
1109.0,,,0.049,0.277,0.247,38.7,59.0
1111.0,,,0.044000000000000004,0.17,0.146,22.6,76.0
1113.0,,,0.043,0.23199999999999998,0.16899999999999998,50.0,48.1
1115.0,,,0.04,0.135,0.16,14.6,83.2
1117.0,,,0.032,0.07400000000000001,0.42200000000000004,23.1,73.4
1119.0,,,0.066,0.359,0.182,74.2,24.7
1121.0,,,0.05,0.18300000000000002,0.136,36.5,62.0
1123.0,,,0.042,0.18300000000000002,0.182,28.5,70.1
1125.0,,,0.042,0.159,0.302,38.9,58.4
1127.0,,,0.051,0.174,0.111,15.3,82.8
1129.0,,,0.068,0.20199999999999999,0.107,27.9,71.0
1131.0,,,0.115,0.32,0.12,71.0,28.5
1133.0,,,0.051,0.21300000000000002,0.129,8.5,90.0
2013.0,,,0.025,0.146,0.115,37.7,52.9
2016.0,,,0.037000000000000005,0.081,0.162,37.7,52.9
2020.0,,,0.057999999999999996,0.096,0.34600000000000003,37.7,52.9
2050.0,,,0.135,0.287,0.126,37.7,52.9
2060.0,,,0.062000000000000006,0.109,0.203,37.7,52.9
2068.0,,,0.09,0.08,0.445,37.7,52.9
2070.0,,,0.08900000000000001,0.20800000000000002,0.174,37.7,52.9
2090.0,,,0.061,0.07400000000000001,0.331,37.7,52.9
2100.0,,,0.08900000000000001,0.114,0.34700000000000003,37.7,52.9
2105.0,,,0.12300000000000001,0.17600000000000002,0.219,37.7,52.9
2110.0,,,0.046,0.083,0.40299999999999997,37.7,52.9
2122.0,,,0.083,0.102,0.24100000000000002,37.7,52.9
2130.0,,,0.061,0.099,0.24100000000000002,37.7,52.9
2150.0,,,0.05,0.075,0.24100000000000002,37.7,52.9
2164.0,,,0.11699999999999999,0.157,0.16,37.7,52.9
2170.0,,,0.08199999999999999,0.113,0.20600000000000002,37.7,52.9
2180.0,,,0.121,0.23199999999999998,0.14,37.7,52.9
